dmz_id,dmz_name,dt,sum_pressure_tp,mean_pressure_tp,sum_pressure_azp,mean_pressure_azp,azp - tp,standard deviation,percentage
PJ.217,Mutiara Damansara ,12:00:00AM,13473.418,9.515126,22735.52,15.658072,6.142946,0.000270192,0.027019158
PJ.217,Mutiara Damansara ,1:00:00AM,13281.981,9.37993,22602.24,15.566281,6.186351,0.000273705,0.027370522
PJ.217,Mutiara Damansara ,2:00:00AM,9222.666,6.513182,17617.13,12.13301,5.619828,0.000318998,0.031899793
PJ.217,Mutiara Damansara ,3:00:00AM,7987.534,5.625024,17056.29,11.746756,6.121732,0.000358913,0.035891346
PJ.217,Mutiara Damansara ,4:00:00AM,7925.672,5.581459,17185.22,11.835551,6.254092,0.000363923,0.036392272
PJ.217,Mutiara Damansara ,5:00:00AM,12758.809,8.985077,22946.97,15.836418,6.851341,0.000298573,0.02985728
PJ.217,Mutiara Damansara ,6:00:00AM,17474.252,12.305811,27107.19,18.746328,6.440517,0.000237594,0.023759442
PJ.217,Mutiara Damansara ,7:00:00AM,18215.436,12.836812,27550.66,19.026699,6.189887,0.000224673,0.022467291
PJ.217,Mutiara Damansara ,8:00:00AM,17572.329,12.37488,26885.5,18.567334,6.192454,0.000230327,0.02303269
PJ.217,Mutiara Damansara ,9:00:00AM,17491.68,12.318085,26932.36,18.548457,6.230372,0.000231334,0.023133405
PJ.217,Mutiara Damansara ,10:00:00AM,17758.537,12.506012,27324.85,18.818767,6.312755,0.000231026,0.023102615
PJ.217,Mutiara Damansara ,12:00:00PM,18107.404,12.77869,27562.38,18.982355,6.203665,0.000225077,0.022507726
PJ.217,Mutiara Damansara ,1:00:00PM,18000.505,12.712221,27478.7,18.924725,6.212504,0.000226084,0.022608435
PJ.217,Mutiara Damansara ,2:00:00PM,17983.128,12.682037,27489.91,18.932445,6.250408,0.000227371,0.022737099
PJ.217,Mutiara Damansara ,3:00:00PM,18339.089,12.914851,27864.97,19.190751,6.2759,0.000225225,0.022522544
PJ.217,Mutiara Damansara ,4:00:00PM,18543.472,13.058783,27980.29,19.270172,6.211389,0.000221992,0.022199159
PJ.217,Mutiara Damansara ,5:00:00PM,18295.392,12.884079,27735.18,19.101364,6.217285,0.000224166,0.022416602
PJ.217,Mutiara Damansara ,6:00:00PM,18212.009,12.825358,27675.91,19.060544,6.235186,0.000225293,0.02252929
PJ.217,Mutiara Damansara ,7:00:00PM,18132.666,12.769483,27511.98,18.973779,6.204296,0.000225513,0.022551252
PJ.217,Mutiara Damansara ,8:00:00PM,17449.792,12.288586,26810.38,18.502678,6.214092,0.000231779,0.023177933
PJ.217,Mutiara Damansara ,9:00:00PM,17969.3,12.672285,27473.63,18.921233,6.248948,0.000227453,0.022745258
PJ.217,Mutiara Damansara ,10:00:00PM,17275.983,12.166185,26679.8,18.374518,6.208333,0.000232698,0.023269788
PJ.217,Mutiara Damansara ,11:00:00PM,17045.584,12.003932,26474.86,18.233375,6.229443,0.000235297,0.023529654
PJ.217,Mutiara Damansara ,12:00:00PM,15985.119,11.257126,24949.99,17.183189,5.926063,0.000237518,0.023751765
