dt,sum_tp_midnight,mean_tp_midnight,sum_azp_midnight ,mean_azp_midnight,azp-tp,standard deviation,percentage
0:00:00,3421.627,9.665613,5712.17,15.736006,6.070393,0.001062712,0.106271224
0:15:00,3363.346,9.500977,5687.25,15.667355,6.166378,0.001084246,0.108424599
0:30:00,3354.528,9.476068,5679.72,15.646612,6.170544,0.001086417,0.108641694
0:45:00,3333.917,9.417845,5656.38,15.582314,6.164469,0.001089826,0.108982582
1:00:00,3321.79,9.383588,5645.94,15.553554,6.169966,0.001092815,0.109281466
1:15:00,3317.784,9.372271,5647.32,15.557355,6.185084,0.001095225,0.109522464
1:30:00,3319.855,9.378121,5653.72,15.574986,6.196865,0.001096069,0.109606861
1:45:00,3322.552,9.38574,5655.26,15.579229,6.193489,0.001095173,0.109517317
2:00:00,2980.587,8.419737,4720.01,13.002782,4.583045,0.000970982,0.097098205
2:15:00,2215.428,6.258271,4369.04,12.035923,5.777652,0.001322408,0.132240767
2:30:00,2039.656,5.76174,4286.8,11.809366,6.047626,0.001410755,0.141075534
2:45:00,1986.995,5.61298,4241.28,11.683967,6.070987,0.001431404,0.143140443
3:00:00,2021.765,5.695113,4291.35,11.821901,6.126788,0.001427706,0.142770643
3:15:00,2002.749,5.641546,4276.76,11.781708,6.140162,0.001435704,0.143570413
3:30:00,1995.285,5.620521,4266.42,11.753223,6.132702,0.001437435,0.143743513
3:45:00,1967.735,5.542915,4221.76,11.630193,6.087278,0.001441882,0.144188158
4:00:00,2012.393,5.668713,4283.49,11.800248,6.131535,0.001431434,0.143143441
4:15:00,1985.434,5.592772,4245.33,11.695124,6.102352,0.001437427,0.143742701
4:30:00,1971.667,5.553992,4237.71,11.674132,6.12014,0.001444209,0.144420925
4:45:00,1956.178,5.510361,4418.69,12.1727,6.662339,0.001507763,0.150776339
5:00:00,2556.275,7.200775,5208.98,14.349807,7.149032,0.001372444,0.137244374
